;x
acolhimento institucional;83
poder familiar;79
do poder;64
da criança;63
em que;47
destituição do;43
que a;42
família substituta;40
ação de;37
em família;36
e do;36
criança e;33
convivência familiar;32
da decisão;31
com a;30
da família;29
de acolhimento;29
de destituição;27
melhor interesse;26
família extensa;26
do adolescente;24
agravo_de_instrumento eca;23
familiar e;23
manutenção da;22
interesse da;21
com o;21
a guarda;20
o direito;19
à convivência;18
a convivência;18
decisão que;18
não se;18
medida protetiva;18
que não;18
prevalência do;18
pedido de;18
à criança;18
de negligência;18
os cuidados;17
com os;17
apelação cível;17
que o;17
dos autos;17
de convivência;17
constituição federal;17
do melhor;16
direito à;16
da constituição;16
colocação em;15
convivência com;15
decisão agravada;15
além de;15
situação de;15
autos em;15
eca ação;14
estatuto da;14
da proteção;14
e comunitária;14
condições de;14
agravo interno;14
forma de;14
de que;14
caso dos;14
da convivência;13
direito da;13
da infante;13
adolescente e;13
proteção integral;13
o acolhimento;13
e ao;13
ao adolescente;13
o art;13
dos genitores;13
do estado;13
à educação;13
e à;13
de toda;13
família natural;12
deve ser;12
recurso desprovido;12
do eca;12
de sua;12
e a;12
o poder;12
do infante;12
é dever;12
dever da;12
família da;12
da sociedade;12
sociedade e;12
estado assegurar;12
assegurar à;12
com absoluta;12
absoluta prioridade;12
à vida;12
vida à;12
à saúde;12
saúde à;12
à alimentação;12
alimentação à;12
educação ao;12
ao lazer;12
lazer à;12
à profissionalização;12
profissionalização à;12
à cultura;12
cultura à;12
à dignidade;12
dignidade ao;12
ao respeito;12
respeito à;12
à liberdade;12
liberdade e;12
comunitária além;12
de colocá;12
colocá los;12
los a;12
a salvo;12
salvo de;12
toda forma;12
negligência discriminação;12
discriminação exploração;12
exploração violência;12
violência crueldade;12
crueldade e;12
e opressão;12
a decisão;11
desde o;11
do acolhimento;11
avó materna;11
suspensão do;11
que os;11
dos infantes;11
de idade;11
eca destituição;11
prioridade o;11
dos menores;11
por edital;11
agravo_de_instrumento desprovido;10
reforma da;10
princípio do;10
e da;10
aplicação de;10
pleito de;10
que se;10
do menor;10
a criança;10
criança ao;10
ao jovem;10
jovem com;10
a família;9
no caso;9
e o;9
agravo_de_instrumento ação;9
interesse do;9
do princípio;9
que determinou;9
sua família;9
a infante;9
da genitora;9
decisão da;9
decisão mantida;9
sob a;9
falta de;9
em decorrência;9
art da;9
a genitora;8
equipe técnica;8
o que;8
pelo juízo;8
a situação;8
em situação_de_risco;8
manutenção do;8
da menor;8
de medida;8
do genitor;8
caso concreto;8
o seu;8
ministério público;8
anos de;8
da mãe;8
provimento unânime;8
ausência de;8
das crianças;8
federal prevê;8
prevê que;8
que é;8
bem estar;8
contexto em;8
previsto no;8
à família;8
de manter;8
mãe biológica;8
de adoção;7
tentativas de;7
a mãe;7
do interesse;7
de reforma;7
cuidados da;7
e de;7
guarda dos;7
criança em;7
institucional e;7
em razão;7
pretensão de;7
direito de;7
de medida_de_proteção;7
a filha;7
o nascimento;7
da apelante;7
a sua;7
a manutenção;7
no artigo;7
artigo da;7
agravo desprovido;7
da origem;7
em relação;7
de desacolhimento;7
não há;7
a citação;7
citação por;7
de fato;7
cuidados com;6
acolhidos institucionalmente;6
de modo;6
modo que;6
ao direito;6
ser mantida;6
mantida a;6
medida_de_proteção acolhimento;6
acolhida institucionalmente;6
de origem;6
da guarda;6
a avó;6
à adoção;6
a suspensão;6
cível eca;6
integral e;6
prevalência da;6
art do;6
de proteção;6
eca acolhimento;6
os genitores;6
de exercer;6
bem como;6
de forma;6
acerca da;6
interno desprovido;6
possibilidade de;6
de julgamento;6
do cpc;6
considerando que;6
convivência e;6
negaram provimento;6
na família;6
impossibilidade de;6
decorrência da;6
familiar da;6
é medida;6
protetiva de;6
em julgado;6
preliminar rejeitada;6
o infante;6
colocação imediata;6
além disso;6
princípio da;6
exercer o;6
as crianças;6
para fins;6
fins de;6
curadora especial;6
apelo desprovido;6
lf de;6
de art;6
assumir os;5
o agravante;5
dos vínculos;5
e acolhimento;5
medida de;5
guarda provisória;5
agravada que;5
que melhor;5
medida_de_proteção de;5
