;x
agravo de instrumento;69
do poder familiar;62
destituição do poder;43
em família substituta;36
da criança e;26
de acolhimento institucional;24
de instrumento eca;23
ação de destituição;23
de destituição do;22
criança e do;22
e do adolescente;22
medida de proteção;20
melhor interesse da;18
interesse da criança;18
manutenção da decisão;17
à convivência familiar;16
do melhor interesse;16
da constituição federal;16
colocação em família;15
situação de risco;15
dos autos em;15
autos em que;15
estatuto da criança;14
convivência familiar e;14
familiar e comunitária;14
caso dos autos;14
eca ação de;13
da proteção integral;12
em que a;12
é dever da;12
dever da família;12
da família da;12
família da sociedade;12
da sociedade e;12
sociedade e do;12
e do estado;12
do estado assegurar;12
estado assegurar à;12
assegurar à criança;12
com absoluta prioridade;12
o direito à;12
direito à vida;12
à vida à;12
vida à saúde;12
à saúde à;12
saúde à alimentação;12
à alimentação à;12
alimentação à educação;12
à educação ao;12
educação ao lazer;12
ao lazer à;12
lazer à profissionalização;12
à profissionalização à;12
profissionalização à cultura;12
à cultura à;12
cultura à dignidade;12
à dignidade ao;12
dignidade ao respeito;12
ao respeito à;12
respeito à liberdade;12
à liberdade e;12
liberdade e à;12
e à convivência;12
e comunitária além;12
comunitária além de;12
além de colocá;12
de colocá los;12
colocá los a;12
los a salvo;12
a salvo de;12
salvo de toda;12
de toda forma;12
toda forma de;12
forma de negligência;12
de negligência discriminação;12
negligência discriminação exploração;12
discriminação exploração violência;12
exploração violência crueldade;12
violência crueldade e;12
crueldade e opressão;12
direito da criança;11
em situação de;11
suspensão do poder;11
ao adolescente e;11
eca destituição do;11
absoluta prioridade o;11
prioridade o direito;11
instrumento eca ação;10
de instrumento desprovido;10
a convivência familiar;10
reforma da decisão;10
da decisão que;10
o acolhimento institucional;10
o poder familiar;10
à criança ao;10
criança ao adolescente;10
adolescente e ao;10
e ao jovem;10
ao jovem com;10
jovem com absoluta;10
de instrumento ação;9
princípio do melhor;9
o art da;9
art da constituição;9
de medida de;8
prevalência do princípio;8
de que a;8
constituição federal prevê;8
federal prevê que;8
prevê que é;8
que é dever;8
contexto em que;8
de proteção acolhimento;7
proteção acolhimento institucional;7
instrumento ação de;7
da família extensa;7
do acolhimento institucional;7
com a mãe;7
poder familiar e;7
de reforma da;7
acolhimento institucional e;7
anos de idade;7
no artigo da;7
artigo da constituição;7
citação por edital;7
de modo que;6
ser mantida a;6
a decisão que;6
manutenção do acolhimento;6
de instrumento medida;6
do princípio do;6
decisão que determinou;6
apelação cível eca;6
proteção integral e;6
eca acolhimento institucional;6
da família natural;6
condições de exercer;6
os cuidados da;6
agravo interno desprovido;6
interesse do menor;6
de medida protetiva;6
da criança em;6
sob a guarda;6
em decorrência da;6
medida protetiva de;6
de convivência familiar;6
da decisão da;6
decisão da origem;6
desde o nascimento;6
em que o;6
para fins de;6
prevalência do interesse;6
lf de art;6
assumir os cuidados;5
os cuidados com;5
convivência com a;5
decisão agravada que;5
de proteção de;5
mantida a decisão;5
a suspensão do;5
de sua família;5
instrumento eca acolhimento;5
que determinou o;5
possibilidade de julgamento;5
de instrumento família;5
acolhimento institucional de;5
situação de vulnerabilidade;5
ação de acolhimento;5
direito de convivência;5
a guarda do;5
com a família;5
negaram provimento unânime;5
poder familiar da;5
em que os;5
de convivência e;5
da criança previsto;5
criança previsto no;5
previsto no artigo;5
em relação ao;5
instrumento eca destituição;5
exercer o poder;5
aplicação de medida;5
crianças e adolescentes;5
válida a citação;5
inserção em família;5
de risco desde;5
situação de fato;5
de fato em;5
fato em que;5
por meio de;5
que a genitora;4
cuidados com os;4
deve ser mantida;4
do adolescente medida;4
medida de acolhimento;4
manutenção da guarda;4
a avó materna;4
que melhor atende;4
e acolhimento institucional;4
acolhimento institucional pretensão;4
juízo a quo;4
que determinou a;4
da prevalência da;4
prevalência da família;4
nos termos do;4
art do eca;4
seio de sua;4
aplicação de medidas;4
pedido de reforma;4
exercer os cuidados;4
agravo interno em;4
em agravo de;4
acolhimento institucional pleito;4
institucional pleito de;4
que a convivência;4
a convivência com;4
convivência com os;4
tratando se de;4
precedentes do tjrs;4
de negligência e;4
da decisão agravada;4
pela rede de;4
proteção de acolhimento;4
de instrumento possibilidade;4
instrumento possibilidade de;4
de julgamento monocrático;4
decisão mantida caso;4
a fim de;4
poder familiar pedido;4
o pedido de;4
e opressão contexto;4
opressão contexto em;4
instrumento medida de;4
da origem o;4
origem o art;4
convivência familiar agravo;4
ambos os genitores;4
o princípio da;4
doutrina da proteção;4
exercer a guarda;4
de drogas e;4
de aplicação de;4
o direito de;4
princípio norteador da;4
falta de condições;4
de exercer o;4
prevalência do melhor;4
a citação por;4
do interesse do;4
de manter a;4
verificada situação de;4
a família extensa;4
meio de medida;4
protetiva em decorrência;4
a mãe biológica;4
da sua família;4
manteve convivência com;4
processo de destituição;4
a família natural;3
de instrumento estatuto;3
instrumento estatuto da;3
adolescente medida de;3
convivência familiar é;3
decisão que suspendeu;3
pela equipe técnica;3
não se ignora;3
dos vínculos familiares;3
da equipe técnica;3
do adolescente agravo;3
adolescente agravo de;3
menor em situação;3
as tentativas de;3
instrumento eca medida;3
eca medida de;3
a reforma da;3
decisão agravada mantida;3
mantida recurso desprovido;3
integral e prioritária;3
do adolescente ser;3
adolescente ser criado;3
ser criado e;3
criado e educado;3
no seio de;3
assegurada a convivência;3
de medidas de;3
medidas de proteção;3
acolhimento institucional da;3
à criança e;3
criança e ao;3
e ao adolescente;3
de acordo com;3
a existência de;3
interno em agravo;3
a julgamento pelo;3
julgamento pelo órgão;3
pelo órgão colegiado;3
qualquer prejuízo que;3
prejuízo que se;3
que se possa;3
se possa cogitar;3
com o art;3
do tjrs agravo;3
criança e adolescente;3
direito à convivência;3
suspensão das visitas;3
de restabelecimento da;3
restabelecimento da convivência;3
conforme o disposto;3
o disposto no;3
que a menor;3
a menor foi;3
ao melhor interesse;3
em razão de;3
medida protetiva acolhimento;3
protetiva acolhimento institucional;3
da destituição do;3
familiar recurso desprovido;3
apelação cível estatuto;3
cível estatuto da;3
guarda dos infantes;3
destituídos do poder;3
poder familiar dos;3
familiar dos genitores;3
embargos de declaração;3
julgamento monocrático quando;3
monocrático quando em;3
quando em conformidade;3
