"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"41";"224";"18.3";"****";""
"19";"21";" 90.48";"80.719";"assegurar";"2.601709e-19"
"15";"15";"100.00";"71.756";"prever";"2.434815e-17"
"14";"15";" 93.33";"60.523";"constituição_federal";"7.271980e-15"
"15";"21";" 71.43";"43.735";"art";"3.759655e-11"
" 9";" 9";"100.00";"41.852";"sociedade";"9.843506e-11"
"21";"38";" 55.26";"41.806";"dever";"1.008167e-10"
"17";"28";" 60.71";"38.491";"família";"5.499915e-10"
"21";"41";" 51.22";"36.363";"direito";"1.638203e-09"
"10";"12";" 83.33";"35.857";"artigo";"2.122999e-09"
"10";"12";" 83.33";"35.857";"proteção_integral";"2.122999e-09"
" 5";" 5";"100.00";"22.827";"preconizar";"1.772952e-06"
" 5";" 5";"100.00";"22.827";"norteador";"1.772952e-06"
" 5";" 5";"100.00";"22.827";"educado";"1.772952e-06"
"13";"26";" 50.00";"19.762";"adolescente";"8.769458e-06"
" 4";" 4";"100.00";"18.178";"prioridade";"2.011609e-05"
" 4";" 4";"100.00";"18.178";"doutrina";"2.011609e-05"
" 6";" 8";" 75.00";"17.834";"absoluto";"2.409959e-05"
" 5";" 6";" 83.33";"17.435";"seio";"2.972618e-05"
" 3";" 3";"100.00";"13.572";"extenso";"2.295832e-04"
" 3";" 3";"100.00";"13.572";"respeitado";"2.295832e-04"
" 3";" 3";"100.00";"13.572";"reintegração";"2.295832e-04"
" 3";" 3";"100.00";"13.572";"priorizam";"2.295832e-04"
" 3";" 3";"100.00";"13.572";"preservação";"2.295832e-04"
" 3";" 3";"100.00";"13.572";"habilitação";"2.295832e-04"
" 3";" 3";"100.00";"13.572";"ditame";"2.295832e-04"
"17";"46";" 36.96";"13.469";"familiar";"2.425109e-04"
" 4";" 5";" 80.00";"13.018";"jovem";"3.084579e-04"
" 4";" 5";" 80.00";"13.018";"modo";"3.084579e-04"
" 8";"16";" 50.00";"11.577";"proteção";"6.678179e-04"
"18";"53";" 33.96";"11.384";"eca";"7.407421e-04"
" 4";" 6";" 66.67";" 9.643";"criar";"1.900289e-03"
"25";"90";" 27.78";" 9.031";"criança";"2.654493e-03"
" 3";" 4";" 75.00";" 8.755";"infância";"3.087487e-03"
" 3";" 4";" 75.00";" 8.755";"indício";"3.087487e-03"
" 7";"15";" 46.67";" 8.649";"origem";"3.272573e-03"
" 9";"24";" 37.50";" 6.624";"colocação";"1.006042e-02"
" 3";" 5";" 60.00";" 5.946";"tenro";"1.474983e-02"
" 3";" 5";" 60.00";" 5.946";"excepcional";"1.474983e-02"
" 3";" 5";" 60.00";" 5.946";"cna";"1.474983e-02"
" 2";" 3";" 66.67";" 4.756";"vez";"2.919179e-02"
" 2";" 3";" 66.67";" 4.756";"junto";"2.919179e-02"
" 2";" 3";" 66.67";" 4.756";"prioritário";"2.919179e-02"
" 2";" 3";" 66.67";" 4.756";"perspectiva";"2.919179e-02"
" 2";" 3";" 66.67";" 4.756";"inc";"2.919179e-02"
" 8";"23";" 34.78";" 4.655";"medida";"3.096616e-02"
" 4";" 9";" 44.44";" 4.285";"agravo";"3.844952e-02"
" 8";"24";" 33.33";" 4.061";"princípio";"4.389384e-02"
" 5";"13";" 38.46";" 3.750";"aplicação";"5.279873e-02"
"11";"38";" 28.95";" 3.467";"família_substituta";"6.259899e-02"
" 3";" 7";" 42.86";" 2.913";"possível";"8.785503e-02"
" 3";" 7";" 42.86";" 2.913";"melhor";"8.785503e-02"
" 2";" 4";" 50.00";" 2.736";"atendimento";"9.809035e-02"
" 2";" 4";" 50.00";" 2.736";"tutela";"9.809035e-02"
" 2";" 4";" 50.00";" 2.736";"termo";"9.809035e-02"
" 2";" 4";" 50.00";" 2.736";"retornar";"9.809035e-02"
" 2";" 4";" 50.00";" 2.736";"referência";"9.809035e-02"
" 2";" 4";" 50.00";" 2.736";"objectivo";"9.809035e-02"
" 2";" 4";" 50.00";" 2.736";"menino";"9.809035e-02"
"14";"56";" 25.00";" 2.239";"convivência";"1.345589e-01"
" 9";"33";" 27.27";" 2.082";"manutenção";"1.490391e-01"
" 3";" 8";" 37.50";" 2.044";"opressão";"1.527576e-01"
" 3";" 8";" 37.50";" 2.044";"observar";"1.527576e-01"
"*****";"*";"*";"*";"*";"*"
"10";"12";"83.33";"35.857";"estado";"2.122999e-09"
"33";"93";"35.48";"31.389";"ser";"2.111366e-08"
" 3";" 4";"75.00";" 8.755";"lhe";"3.087487e-03"
" 4";"10";"40.00";" 3.295";"qualquer";"6.948584e-02"
" 9";"31";"29.03";" 2.770";"sua";"9.607416e-02"
" 2";" 4";"50.00";" 2.736";"isso";"9.809035e-02"
" 2";" 4";"50.00";" 2.736";"esta";"9.809035e-02"
" 7";"24";"29.17";" 2.121";"seu";"1.452653e-01"
"*";"*";"*";"*";"*";"*"
"3";" 3";"100.00";"13.572";"*cod_5765606";"0.0002295832"
"3";" 3";"100.00";"13.572";"*tipo_proc_reexame_necessário";"0.0002295832"
"3";" 3";"100.00";"13.572";"*ano_2014";"0.0002295832"
"2";" 3";" 66.67";" 4.756";"*cod_10530261";"0.0291917870"
"2";" 3";" 66.67";" 4.756";"*cod_9969615";"0.0291917870"
"2";" 3";" 66.67";" 4.756";"*ori_rio_grande";"0.0291917870"
"2";" 3";" 66.67";" 4.756";"*cod_8694393";"0.0291917870"
"2";" 3";" 66.67";" 4.756";"*cod_8054835";"0.0291917870"
"3";" 6";" 50.00";" 4.142";"*ori_osório";"0.0418283167"
"4";"10";" 40.00";" 3.295";"*ori_viamão";"0.0694858373"
"2";" 4";" 50.00";" 2.736";"*cod_9386069";"0.0980903462"
"2";" 4";" 50.00";" 2.736";"*ori_sobradinho";"0.0980903462"
"2";" 4";" 50.00";" 2.736";"*cod_7106842";"0.0980903462"
"2";" 4";" 50.00";" 2.736";"*ori_dom_pedrito";"0.0980903462"
"**";"classe";"2";"**";"";""
"****";"29";"224";"12.95";"****";""
"10";"10";"100.00";"70.383";"preliminar";"4.882662e-17"
" 8";" 8";"100.00";"55.785";"rejeitar";"8.082793e-14"
"13";"20";" 65.00";"52.797";"prevalência";"3.697950e-13"
" 8";"10";" 80.00";"41.758";"nascimento";"1.032895e-10"
" 6";" 6";"100.00";"41.455";"confirmar";"1.206011e-10"
" 5";" 5";"100.00";"34.388";"curador";"4.514323e-09"
" 4";" 4";"100.00";"27.386";"citação";"1.666694e-07"
" 4";" 4";"100.00";"27.386";"posto";"1.666694e-07"
" 5";" 6";" 83.33";"27.101";"inserir";"1.930692e-07"
" 5";" 6";" 83.33";"27.101";"apelo";"1.930692e-07"
"14";"36";" 38.89";"25.614";"manter";"4.169900e-07"
" 6";" 9";" 66.67";"24.010";"decorrência";"9.583888e-07"
" 7";"12";" 58.33";"23.175";"verificar";"1.479150e-06"
" 7";"12";" 58.33";"23.175";"biológico";"1.479150e-06"
" 5";" 7";" 71.43";"21.928";"fato";"2.830936e-06"
" 5";" 7";" 71.43";"21.928";"especial";"2.830936e-06"
"11";"27";" 40.74";"21.044";"adoção";"4.489408e-06"
" 8";"16";" 50.00";"20.991";"medida_protetiva";"4.615029e-06"
" 6";"10";" 60.00";"20.563";"tentativa";"5.770577e-06"
" 3";" 3";"100.00";"20.446";"edital";"6.132969e-06"
" 3";" 3";"100.00";"20.446";"nulidade";"6.132969e-06"
" 3";" 3";"100.00";"20.446";"passo";"6.132969e-06"
